#Lmmi lambda pol E_p0_m0 E_p1_m0 E_p2_m0 E_p3_m0 Esum_m0 E_p0_m1 E_p1_m1 E_p2_m1 E_p3_m1 Esum_m1 E_p0_m2 E_p1_m2 E_p2_m2 E_p3_m2 Esum_m2 E_p0_m0dB E_p1_m0dB E_p2_m0dB E_p3_m0dB Esum_m0dB E_p0_m1dB E_p1_m1dB E_p2_m1dB E_p3_m1dB Esum_m1dB E_p0_m2dB E_p1_m2dB E_p2_m2dB E_p3_m2dB Esum_m2dB phase_p0_m0 phase_p1_m0 phase_p2_m0 phase_p3_m0 dphase_p0-p0_m0 dphase_p1-p0_m0 dphase_p2-p0_m0 dphase_p3-p0_m0 
433 1.5 0 0.24035411 0.16815631 0.14860217 0.17210448 0.72921706 0.07692558 0.1904024 0.027565934 0.12102959 0.4159235 0 0 0 0 0 -6.1914845 -7.7428684 -8.2797486 -7.6420784 -1.3714318 -11.139292 -7.2032758 -15.596273 -9.1710844 -3.8098654 -100 -100 -100 -100 -100 179.12146 43.880392 51.929595 -2.5282645 0 224.75893 232.80813 178.35027 
433 1.51 0 0.23981347 0.18961045 0.17244259 0.19019138 0.7920579 0.12524136 0.21600939 0.037439577 0.11868811 0.49737844 0 0 0 0 0 -6.2012642 -7.2213773 -7.6335546 -7.2080916 -1.0124307 -9.0225221 -6.6552737 -14.266691 -9.2559278 -3.0331304 -100 -100 -100 -100 -100 95.351114 -40.105262 -35.054628 -86.027957 0 224.54362 229.59426 178.62093 
433 1.52 0 0.23986985 0.2107853 0.1961813 0.20811612 0.85495258 0.25894919 0.34311953 0.070258063 0.14524575 0.81757253 0 0 0 0 0 -6.2002433 -6.7615967 -7.0734239 -6.8169427 -0.68057973 -5.8678544 -4.6455456 -11.533038 -8.3789657 -0.87473709 -100 -100 -100 -100 -100 6.7951675 -128.79744 -125.8915 -174.35841 0 224.40739 227.31334 178.84642 
433 1.53 0 0.23984382 0.23030069 0.21791579 0.22447958 0.91253988 0 0 0 0 0 0 0 0 0 0 -6.2007147 -6.3770477 -6.617113 -6.4882315 -0.39748147 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -86.512475 137.96948 139.27496 92.684283 0 224.48195 225.78743 179.19676 
433 1.54 0 0.23991747 0.2450441 0.23437782 0.23644449 0.95578389 0 0 0 0 0 0 0 0 0 0 -6.1993812 -6.1075575 -6.3008348 -6.262708 -0.19640294 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 175.58319 40.256157 40.384572 -4.9198276 0 224.67296 224.80138 179.49698 
433 1.55 0 0.2385283 0.25247831 0.24247359 0.24283466 0.97631486 0 0 0 0 0 0 0 0 0 0 -6.2246008 -5.9777593 -6.1533555 -6.1468933 -0.10410099 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 73.230636 -62.112946 -62.800545 -107.33974 0 224.65642 223.96882 179.42962 
433 1.56 0 0.23497564 0.25228615 0.24141766 0.24386505 0.9725445 0 0 0 0 0 0 0 0 0 0 -6.2897717 -5.9810658 -6.1723096 -6.1285044 -0.12090517 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -33.600955 -169.3921 -170.5342 145.28924 0 224.20886 223.06675 178.8902 
433 1.57 0 0.22922205 0.24622039 0.23237699 0.24105862 0.94887805 0 0 0 0 0 0 0 0 0 0 -6.3974362 -6.0867599 -6.3380688 -6.1787733 -0.227896 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -144.98336 78.286429 77.024604 32.949507 0 223.26979 222.00797 177.93287 
433 1.58 0 0.22282237 0.23659854 0.2168567 0.23544501 0.91172262 0 0 0 0 0 0 0 0 0 0 -6.5204121 -6.2598795 -6.6382715 -6.2811051 -0.40137271 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 99.038729 -39.031815 -40.072254 -84.268103 0 221.92946 220.88902 176.69317 
433 1.59 0 0.21731375 0.22471717 0.19539397 0.2279405 0.8653654 0 0 0 0 0 0 0 0 0 0 -6.6291279 -6.4836373 -7.0908885 -6.421785 -0.62800474 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -21.356207 -161.25909 -161.87054 153.65977 0 220.09712 219.48566 175.01598 
433 1.6 0 0.21293402 0.21174366 0.16972238 0.22006227 0.81446233 0 0 0 0 0 0 0 0 0 0 -6.7175494 -6.7418958 -7.7026088 -6.5745442 -0.89128996 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -145.9251 71.65063 71.40986 26.734564 0 217.57573 217.33496 172.65966 
