#Lmmi lambda pol E_p0_m0 E_p1_m0 E_p2_m0 E_p3_m0 Esum_m0 E_p0_m1 E_p1_m1 E_p2_m1 E_p3_m1 Esum_m1 E_p0_m2 E_p1_m2 E_p2_m2 E_p3_m2 Esum_m2 E_p0_m0dB E_p1_m0dB E_p2_m0dB E_p3_m0dB Esum_m0dB E_p0_m1dB E_p1_m1dB E_p2_m1dB E_p3_m1dB Esum_m1dB E_p0_m2dB E_p1_m2dB E_p2_m2dB E_p3_m2dB Esum_m2dB phase_p0_m0 phase_p1_m0 phase_p2_m0 phase_p3_m0 dphase_p0-p0_m0 dphase_p1-p0_m0 dphase_p2-p0_m0 dphase_p3-p0_m0 
433 1.5 0 0.17197932 0.14805042 0.16839823 0.23984858 0.72827656 0.12066012 0.027329419 0.19008521 0.076486695 0.41456144 0 0 0 0 0 -7.6452377 -8.2959035 -7.7366247 -6.2006285 -1.3770367 -9.1843624 -15.633696 -7.2105168 -11.164141 -3.8241109 -100 -100 -100 -100 -100 -2.6111222 51.932303 43.898094 179.10605 0 54.543425 46.509216 181.71717 
433 1.51 0 0.1900013 0.17181094 0.18978745 0.23922692 0.79082661 0.1183223 0.037154769 0.21565108 0.12470398 0.49583213 0 0 0 0 0 -7.2124343 -7.6494919 -7.2173251 -6.2118996 -1.0191873 -9.269334 -14.299854 -6.6624836 -9.0411968 -3.0466533 -100 -100 -100 -100 -100 -86.08839 -35.054865 -40.102131 95.339134 0 51.033525 45.986259 181.42752 
433 1.52 0 0.20784017 0.1954576 0.21096595 0.23925929 0.85352302 0.14476715 0.069791495 0.34254752 0.25803379 0.81513996 0 0 0 0 0 -6.8227052 -7.0894743 -6.7578763 -6.2113118 -0.68784763 -8.3932998 -11.561975 -4.6527917 -5.8832341 -0.88767815 -100 -100 -100 -100 -100 -174.41234 -125.89149 -128.80754 6.7830677 0 48.520852 45.604805 181.19541 
433 1.53 0 0.22414875 0.21712222 0.23045249 0.23924718 0.91097064 0 0 0 0 0 0 0 0 0 0 -6.4946367 -6.6329573 -6.3741859 -6.2115317 -0.40495618 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 92.644825 139.2748 137.94757 -86.526666 0 46.629972 45.302746 180.82851 
433 1.54 0 0.23603892 0.23353737 0.24518423 0.23931804 0.95407856 0 0 0 0 0 0 0 0 0 0 -6.2701637 -6.3164362 -6.1050747 -6.2102457 -0.20415865 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -4.945868 40.384489 40.223906 175.57298 0 45.330357 45.169774 180.51885 
433 1.55 0 0.24234873 0.24160937 0.25265637 0.2378737 0.97448817 0 0 0 0 0 0 0 0 0 0 -6.1555925 -6.1688623 -5.9746974 -6.2365357 -0.11223427 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -107.35876 -62.797525 -62.14961 73.222874 0 44.561237 45.209152 180.58164 
433 1.56 0 0.24335225 0.24055482 0.25237704 0.23434184 0.97062595 0 0 0 0 0 0 0 0 0 0 -6.1376463 -6.1878594 -5.9795016 -6.3015016 -0.129481 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 145.27384 -170.53094 -169.42987 -33.610563 0 44.195218 45.296296 181.1156 
433 1.57 0 0.24052813 0.23155613 0.24632645 0.22861666 0.94702737 0 0 0 0 0 0 0 0 0 0 -6.1883413 -6.3534372 -6.0848895 -6.4089212 -0.23637471 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 32.93418 77.029647 78.241752 -144.98888 0 44.095467 45.307572 182.07694 
433 1.58 0 0.23492163 0.21607221 0.23665926 0.22214752 0.90980062 0 0 0 0 0 0 0 0 0 0 -6.29077 -6.6540109 -6.2587649 -6.5335854 -0.41053773 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -84.274035 -40.066113 -39.08529 99.032668 0 44.207922 45.188746 183.3067 
433 1.59 0 0.2274433 0.19468668 0.22480076 0.216675 0.86360573 0 0 0 0 0 0 0 0 0 0 -6.4312685 -7.1066376 -6.4820223 -6.641912 -0.63684483 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 153.65463 -161.86468 -161.31119 -21.376152 0 44.480695 45.034181 184.96922 
433 1.6 0 0.21957187 0.16909817 0.21177157 0.212371 0.81281261 0 0 0 0 0 0 0 0 0 0 -6.5842331 -7.7186109 -6.7413234 -6.7290479 -0.90009569 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 26.741122 71.416209 71.593298 -145.9461 0 44.675087 44.852176 187.31278 
