#Lmmi lambda pol E_p0_m0 E_p1_m0 E_p2_m0 E_p3_m0 Esum_m0 E_p0_m1 E_p1_m1 E_p2_m1 E_p3_m1 Esum_m1 E_p0_m2 E_p1_m2 E_p2_m2 E_p3_m2 Esum_m2 E_p0_m0dB E_p1_m0dB E_p2_m0dB E_p3_m0dB Esum_m0dB E_p0_m1dB E_p1_m1dB E_p2_m1dB E_p3_m1dB Esum_m1dB E_p0_m2dB E_p1_m2dB E_p2_m2dB E_p3_m2dB Esum_m2dB phase_p0_m0 phase_p1_m0 phase_p2_m0 phase_p3_m0 dphase_p0-p0_m0 dphase_p1-p0_m0 dphase_p2-p0_m0 dphase_p3-p0_m0 
433 1.5 0 0.20882849 0.17194435 0.23877398 0.20255228 0.82209911 0.040763542 0.068004058 0.028989888 0.0035425166 0.1413 0 0 0 0 0 -6.8021025 -7.6461209 -6.22013 -6.9346286 -0.85075824 -13.897281 -11.674652 -15.377535 -24.506881 -8.4985782 -100 -100 -100 -100 -100 49.385891 -2.5774792 179.02487 37.610972 0 308.03663 129.63897 348.22508 
433 1.51 0 0.2185012 0.18997174 0.23838524 0.21348446 0.86034264 0.037749581 0.056751976 0.033553581 0.0023063223 0.13036146 0 0 0 0 0 -6.6054616 -7.2131101 -6.2272064 -6.7063373 -0.65328553 -14.230879 -12.46019 -14.742611 -26.3708 -8.8485078 -100 -100 -100 -100 -100 -36.306463 -86.073151 95.300345 -44.597385 0 310.23331 131.60681 351.70908 
433 1.52 0 0.22893694 0.2077959 0.23860356 0.22498117 0.90031757 0.053669016 0.064122416 0.052099683 0.017025338 0.18691645 0 0 0 0 0 -6.4028413 -6.8236303 -6.2232308 -6.4785382 -0.45604275 -12.702764 -11.929901 -12.831649 -17.689043 -7.2835247 -100 -100 -100 -100 -100 -126.4816 -174.39748 6.7820941 -131.76157 0 312.08412 133.2637 354.72004 
433 1.53 0 0.23914801 0.22398706 0.23873549 0.23545861 0.93732916 0 0 0 0 0 0 0 0 0 0 -6.2133323 -6.4977708 -6.2208301 -6.2808543 -0.2810787 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 138.97673 92.660276 -86.510991 136.27953 0 313.68355 134.51228 357.30281 
433 1.54 0 0.24679797 0.23578146 0.23895126 0.24303017 0.96456085 0 0 0 0 0 0 0 0 0 0 -6.0765843 -6.2749035 -6.2169068 -6.1433981 -0.15670369 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 40.229585 -4.9293851 175.58977 39.52555 0 314.84103 135.36018 359.29596 
433 1.55 0 0.24881561 0.24200226 0.23773691 0.24677315 0.97532793 0 0 0 0 0 0 0 0 0 0 -6.0412238 -6.1618057 -6.2390339 -6.077021 -0.1084934 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -62.78734 -107.33481 73.234348 -62.148069 0 315.45253 136.02169 0.63927071 
433 1.56 0 0.24394168 0.24289988 0.23439187 0.24773635 0.96896978 0 0 0 0 0 0 0 0 0 0 -6.1271399 -6.1457269 -6.3005746 -6.0601026 -0.13689766 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -170.29686 145.30667 -33.598331 -168.88558 0 315.60353 136.69853 1.4112863 
433 1.57 0 0.23314581 0.24006183 0.22877463 0.24776086 0.94974313 0 0 0 0 0 0 0 0 0 0 -6.3237239 -6.1967688 -6.4059213 -6.0596731 -0.22393839 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 77.491502 32.981216 -144.97317 79.366712 0 315.48971 137.53533 1.87521 
433 1.58 0 0.21820972 0.23444844 0.22231816 0.24837819 0.92335452 0 0 0 0 0 0 0 0 0 0 -6.611259 -6.2995265 -6.5302506 -6.0488655 -0.34631523 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -39.415124 -84.22756 99.056207 -37.258204 0 315.18756 138.47133 2.1569194 
433 1.59 0 0.20017036 0.22700579 0.21679121 0.250651 0.89461836 0 0 0 0 0 0 0 0 0 0 -6.9860023 -6.4396306 -6.6395833 -6.0093056 -0.48362191 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -161.07973 153.70253 -21.347834 -158.49463 0 314.78225 139.73189 2.5851022 
433 1.6 0 0.18070327 0.21918363 0.21240191 0.25467377 0.86696258 0 0 0 0 0 0 0 0 0 0 -7.4303399 -6.5919189 -6.7284158 -5.9401577 -0.61999647 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 72.413607 26.768613 -145.91092 75.876958 0 314.35501 141.67548 3.4633513 
